dur sec 14	1	2	3	4	total		dur seg 14	1a	1b	1c	2a	2b	2c	2d	3a	3b	3c	4a	4b	4c	total	
Csengery+Keller 1987	00:18	00:55	01:07	00:18	02:38		Csengery+Keller 1987	00:08	00:05	00:05	00:19	00:14	00:08	00:13	00:17	00:25	00:25	00:07	00:05	00:07	02:38	
Csengery+Keller 1990	00:10	00:42	01:04	00:16	02:12		Csengery+Keller 1990	00:03	00:04	00:04	00:14	00:12	00:06	00:10	00:16	00:24	00:24	00:06	00:04	00:06	02:12	
Komsi+Oramo 1994	00:16	00:42	00:59	00:17	02:14		Komsi+Oramo 1994	00:07	00:04	00:05	00:15	00:10	00:08	00:09	00:12	00:22	00:24	00:07	00:04	00:06	02:14	
Komsi+Oramo 1995	00:15	00:41	01:03	00:18	02:17		Komsi+Oramo 1995	00:06	00:04	00:05	00:16	00:10	00:06	00:09	00:13	00:26	00:24	00:07	00:04	00:06	02:17	
Whittlesey+Sallaberger 1997	00:12	00:36	00:50	00:14	01:52		Whittlesey+Sallaberger 1997	00:05	00:04	00:03	00:12	00:08	00:05	00:11	00:11	00:19	00:19	00:05	00:04	00:04	01:52	
Pammer+Kopatchinskaja 2004	00:15	00:44	01:00	00:18	02:18		Pammer+Kopatchinskaja 2004	00:07	00:03	00:05	00:17	00:11	00:06	00:10	00:14	00:23	00:23	00:07	00:05	00:07	02:18	
Arnold+Pogossian 2004	00:18	00:51	01:08	00:21	02:38		Arnold+Pogossian 2004	00:07	00:05	00:06	00:18	00:14	00:09	00:10	00:16	00:27	00:25	00:08	00:06	00:08	02:38	
Banse+Keller 2005	00:17	00:54	01:08	00:20	02:39		Banse+Keller 2005	00:07	00:05	00:05	00:18	00:14	00:10	00:12	00:15	00:26	00:27	00:07	00:05	00:07	02:39	
Arnold+Pogossian 2006	00:17	00:47	01:04	00:20	02:28		Arnold+Pogossian 2006	00:07	00:05	00:05	00:18	00:13	00:07	00:09	00:15	00:26	00:23	00:07	00:05	00:07	02:28	
Melzer+Stark 2012	00:14	00:40	00:49	00:14	01:57		Melzer+Stark 2012	00:06	00:03	00:04	00:16	00:09	00:05	00:09	00:13	00:20	00:16	00:06	00:04	00:05	01:57	
