dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	2d	3a	3b	total	
Melzer+Stark 2012	30,71	59,11	10,18			Melzer+Stark 2012	29,50	1,21	7,11	23,35	13,16	15,49	4,35	5,83		
Melzer+Stark 2013	33,25	58,00	8,74			Melzer+Stark 2013	30,67	2,58	5,23	25,13	12,97	14,67	3,66	5,08		
Kammer+Widmann 2017	30,00	55,73	14,27			Kammer+Widmann 2017	23,02	6,98	4,24	21,01	16,30	14,17	2,60	11,67		
Melzer+Stark 2017	32,08	57,09	10,82			Melzer+Stark 2017	28,47	3,61	6,27	30,06	6,49	14,27	4,43	6,40		
Melzer+Stark 2019	27,71	54,02	18,27			Melzer+Stark 2019	24,21	3,50	9,39	17,17	10,47	16,99	7,91	10,36		
mean 14	29,03	58,07	12,90			mean 14	23,96	5,07	5,15	23,74	13,08	16,10	6,49	6,41		
min 14	26,18	54,02	7,22			min 14	18,79	1,21	3,57	17,17	6,49	14,17	2,43	4,79		
max 14	33,25	61,57	18,27			max 14	30,67	11,30	9,39	30,06	16,30	17,84	10,48	11,67		
abs stdv 14	2,21	2,09	3,23			abs stdv 14	3,35	2,46	1,57	3,06	2,41	1,35	2,94	2,04		
perc sec 8	1	2	3			perc seg 8	1a	1b	2a	2b	2c	2d	3a	3b		
score	28,99	62,32	8,70													
Csengery+Keller 1990	28,07	61,06	10,86			Csengery+Keller 1990	23,93	4,15	4,24	26,42	12,98	17,42	4,14	6,72		
Komsi+Oramo 1995	27,71	56,50	15,79			Komsi+Oramo 1995	21,73	5,97	3,57	23,04	12,88	17,01	9,92	5,88		
Whittlesey+Sallaberger 1997	30,10	59,42	10,48			Whittlesey+Sallaberger 1997	18,79	11,30	4,94	22,95	14,56	16,97	5,03	5,45		
Pammer+Kopatchinskaja 2004	31,21	61,57	7,22			Pammer+Kopatchinskaja 2004	24,08	7,13	5,83	25,18	12,72	17,84	2,43	4,79		
Arnold+Pogossian 2004	27,88	59,18	12,94			Arnold+Pogossian 2004	21,36	6,53	4,14	22,63	15,23	17,18	7,86	5,08		
Banse+Keller 2005	26,42	56,96	16,62			Banse+Keller 2005	22,32	4,10	3,97	24,18	13,40	15,41	10,48	6,14		
Melzer+Stark 2012	30,71	59,11	10,18			Melzer+Stark 2012	29,50	1,21	7,11	23,35	13,16	15,49	4,35	5,83		
Kammer+Widmann 2017	30,00	55,73	14,27			Kammer+Widmann 2017	23,02	6,98	4,24	21,01	16,30	14,17	2,60	11,67		
mean 8	29,01	58,69	12,30			mean 8	9,23	25,08	11,63	7,35	5,55	18,26	7,06	15,84		
min 8	26,42	55,73	7,22			min 8	8,30	22,96	8,60	6,65	4,43	17,13	4,95	13,57		
max 8	31,21	61,57	16,62			max 8	10,96	26,44	13,30	8,08	6,29	19,21	8,62	18,17		
abs stdv 8 	1,71	2,12	3,18			abs stdv 8	0,92	1,29	1,40	0,48	0,63	0,71	1,32	1,41		
