dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	1d	1e	2a	2b	3	total	
Csengery+Keller 1987	00:07	00:04	00:04	00:15		Csengery+Keller 1987	00:02	00:01	00:02	00:01	00:01	00:03	00:01	00:04	00:15	
Csengery+Keller 1990	00:07	00:05	00:04	00:15		Csengery+Keller 1990	00:01	00:01	00:02	00:01	00:01	00:04	00:01	00:04	00:15	
Komsi+Oramo 1994	00:06	00:05	00:04	00:14		Komsi+Oramo 1994	00:02	00:01	00:01	00:01	00:01	00:03	00:01	00:04	00:14	
Komsi+Oramo 1995	00:07	00:04	00:03	00:14		Komsi+Oramo 1995	00:01	00:01	00:01	00:01	00:03	00:03	00:01	00:03	00:14	
Whittlesey+Sallaberger 1997	00:06	00:04	00:03	00:13		Whittlesey+Sallaberger 1997	00:01	00:01	00:01	00:01	00:01	00:03	00:00	00:03	00:13	
Pammer+Kopatchinskaja 2004	00:08	00:04	00:05	00:17		Pammer+Kopatchinskaja 2004	00:02	00:01	00:02	00:02	00:01	00:04	00:01	00:05	00:17	
Arnold+Pogossian 2004	00:09	00:05	00:04	00:17		Arnold+Pogossian 2004	00:02	00:02	00:02	00:02	00:01	00:04	00:01	00:04	00:17	
Banse+Keller 2005	00:07	00:04	00:05	00:16		Banse+Keller 2005	00:02	00:01	00:02	00:01	00:01	00:03	00:01	00:05	00:16	
Arnold+Pogossian 2006	00:08	00:04	00:05	00:16		Arnold+Pogossian 2006	00:02	00:01	00:02	00:01	00:01	00:03	00:01	00:05	00:16	
Melzer+Stark 2012	00:06	00:04	00:05	00:15		Melzer+Stark 2012	00:02	00:01	00:02	00:01	00:00	00:03	00:00	00:05	00:15	
Melzer+Stark 2013	00:06	00:04	00:05	00:15		Melzer+Stark 2013	00:02	00:01	00:02	00:01	00:01	00:04	00:00	00:05	00:15	
Kammer+Widmann 2017	00:05	00:04	00:03	00:13		Kammer+Widmann 2017	00:01	00:01	00:01	00:01	00:00	00:03	00:01	00:03	00:13	
Melzer+Stark 2017	00:06	00:04	00:04	00:14		Melzer+Stark 2017	00:02	00:01	00:01	00:01	00:01	00:04	00:01	00:04	00:14	
Melzer+Stark 2019	00:06	00:04	00:04	00:14		Melzer+Stark 2019	00:02	00:01	00:01	00:01	00:01	00:04	00:01	00:04	00:14	
mean 14	00:07	00:04	00:04	00:15		mean 14	00:02	00:01	00:02	00:01	00:01	00:03	00:01	00:04	00:15	
min 14	00:05	00:04	00:03	00:13	KW 2017	min 14	00:01	00:01	00:01	00:01	00:00	00:03	00:00	00:03	00:13	KW 2017
max 14	00:09	00:05	00:05	00:17	AP 2004	max 14	00:02	00:02	00:02	00:02	00:03	00:04	00:01	00:05	00:17	AP 2004
rel stdv (%) 14	13,08	7,89	14,04	9,50		rel stdv (%) 14	14,85	15,73	20,56	22,71	63,43	6,10	38,20	14,04	9,50	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	1d	1e	2a	2b	3	total	
Csengery+Keller 1990	00:07	00:05	00:04	00:15		Csengery+Keller 1990	00:01	00:01	00:02	00:01	00:01	00:04	00:01	00:04	00:15	
Komsi+Oramo 1995	00:07	00:04	00:03	00:14		Komsi+Oramo 1995	00:01	00:01	00:01	00:01	00:03	00:03	00:01	00:03	00:14	
Whittlesey+Sallaberger 1997	00:06	00:04	00:03	00:13		Whittlesey+Sallaberger 1997	00:01	00:01	00:01	00:01	00:01	00:03	00:00	00:03	00:13	
Pammer+Kopatchinskaja 2004	00:08	00:04	00:05	00:17		Pammer+Kopatchinskaja 2004	00:02	00:01	00:02	00:02	00:01	00:04	00:01	00:05	00:17	
Arnold+Pogossian 2004	00:09	00:05	00:04	00:17		Arnold+Pogossian 2004	00:02	00:02	00:02	00:02	00:01	00:04	00:01	00:04	00:17	
Banse+Keller 2005	00:07	00:04	00:05	00:16		Banse+Keller 2005	00:02	00:01	00:02	00:01	00:01	00:03	00:01	00:05	00:16	
Melzer+Stark 2012	00:06	00:04	00:05	00:15		Melzer+Stark 2012	00:02	00:01	00:02	00:01	00:00	00:03	00:00	00:05	00:15	
Kammer+Widmann 2017	00:05	00:04	00:03	00:13		Kammer+Widmann 2017	00:01	00:01	00:01	00:01	00:00	00:03	00:01	00:03	00:13	
mean 8	00:07	00:04	00:04	00:15		mean 8	00:02	00:01	00:02	00:01	00:01	00:03	00:01	00:04	00:15	
min 8	00:05	00:04	00:03	00:13	KW 2017	min 8	00:01	00:01	00:01	00:01	00:00	00:03	00:00	00:03	00:13	KW 2017
