max 8	00:09	00:05	00:05	00:17	AP 2004	max 8	00:02	00:02	00:02	00:02	00:03	00:04	00:01	00:05	00:17	AP 2004
rel stdv (%) 8 	15,07	9,64	17,00	12,11		rel stdv (%) 8	17,89	20,42	20,93	24,54	69,55	7,16	41,61	17,00	12,11	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	1d	1e	2a	2b	3		
score	43,30	29,80	27,00													
Csengery+Keller 1987	45,56	29,34	25,10			Csengery+Keller 1987	11,34	9,27	14,60	6,97	3,38	22,84	6,50	25,10		
Csengery+Keller 1990	43,21	30,37	26,41			Csengery+Keller 1990	8,25	7,69	12,90	8,75	5,61	23,50	6,88	26,41		
Komsi+Oramo 1994	43,53	31,80	24,67			Komsi+Oramo 1994	11,67	8,59	8,64	7,76	6,87	22,64	9,16	24,67		
Komsi+Oramo 1995	47,73	28,70	23,57			Komsi+Oramo 1995	9,36	6,95	7,31	5,16	18,94	21,09	7,62	23,57		
Whittlesey+Sallaberger 1997	45,88	27,44	26,68			Whittlesey+Sallaberger 1997	11,03	8,35	11,09	11,08	4,33	25,16	2,29	26,68		
Pammer+Kopatchinskaja 2004	44,62	25,56	29,82			Pammer+Kopatchinskaja 2004	9,37	8,39	9,47	8,92	8,48	21,45	4,11	29,82		
Arnold+Pogossian 2004	49,32	26,13	24,54			Arnold+Pogossian 2004	12,36	10,00	12,21	8,62	6,13	20,70	5,43	24,54		
Banse+Keller 2005	46,00	24,65	29,36			Banse+Keller 2005	10,08	9,51	11,21	8,83	6,37	21,41	3,24	29,36		
Arnold+Pogossian 2006	47,08	24,55	28,37			Arnold+Pogossian 2006	12,40	8,65	11,72	5,98	8,33	19,85	4,71	28,37		
Melzer+Stark 2012	42,21	26,55	31,24			Melzer+Stark 2012	11,12	9,75	11,83	6,78	2,73	23,66	2,89	31,24		
Melzer+Stark 2013	42,85	27,01	30,14			Melzer+Stark 2013	10,59	7,55	12,83	7,47	4,41	23,72	3,29	30,14		
Kammer+Widmann 2017	43,22	30,90	25,87			Kammer+Widmann 2017	11,66	8,57	11,75	7,33	3,92	25,65	5,26	25,87		
Melzer+Stark 2017	40,50	29,97	29,53			Melzer+Stark 2017	11,25	9,83	9,78	5,87	3,77	25,14	4,83	29,53		
Melzer+Stark 2019	42,48	29,83	27,69			Melzer+Stark 2019	11,79	9,43	10,07	6,72	4,47	25,30	4,53	27,69		
mean 14	44,59	28,06	27,36			mean 14	10,88	8,75	11,10	7,59	6,27	23,01	5,05	27,36		
min 14	40,50	24,55	23,57			min 14	8,25	6,95	7,31	5,16	2,73	19,85	2,29	23,57		
max 14	49,32	31,80	31,24			max 14	12,40	10,00	14,60	11,08	18,94	25,65	9,16	31,24		
abs stdv 14	2,45	2,38	2,43			abs stdv 14	1,22	0,93	1,90	1,55	4,05	1,89	1,94	2,43		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	1d	1e	2a	2b	3		
score	43,30	29,80	27,00													
Csengery+Keller 1990	43,21	30,37	26,41			Csengery+Keller 1990	8,25	7,69	12,90	8,75	5,61	23,50	6,88	26,41		
Komsi+Oramo 1995	47,73	28,70	23,57			Komsi+Oramo 1995	9,36	6,95	7,31	5,16	18,94	21,09	7,62	23,57		
Whittlesey+Sallaberger 1997	45,88	27,44	26,68			Whittlesey+Sallaberger 1997	11,03	8,35	11,09	11,08	4,33	25,16	2,29	26,68		
Pammer+Kopatchinskaja 2004	44,62	25,56	29,82			Pammer+Kopatchinskaja 2004	9,37	8,39	9,47	8,92	8,48	21,45	4,11	29,82		
Arnold+Pogossian 2004	49,32	26,13	24,54			Arnold+Pogossian 2004	12,36	10,00	12,21	8,62	6,13	20,70	5,43	24,54		
Banse+Keller 2005	46,00	24,65	29,36			Banse+Keller 2005	10,08	9,51	11,21	8,83	6,37	21,41	3,24	29,36		
Melzer+Stark 2012	42,21	26,55	31,24			Melzer+Stark 2012	11,12	9,75	11,83	6,78	2,73	23,66	2,89	31,24		
Kammer+Widmann 2017	43,22	30,90	25,87			Kammer+Widmann 2017	11,66	8,57	11,75	7,33	3,92	25,65	5,26	25,87		
mean 8	45,27	27,54	27,19			mean 8	10,40	8,65	10,97	8,18	7,06	22,83	4,71	27,19		
min 8	42,21	24,65	23,57			min 8	8,25	6,95	7,31	5,16	2,73	20,70	2,29	23,57		
max 8	49,32	30,90	31,24			max 8	12,36	10,00	12,90	11,08	18,94	25,65	7,62	31,24		
abs stdv 8 	2,44	2,27	2,69			abs stdv 8	1,37	1,05	1,79	1,76	5,11	1,93	1,92	2,69		
