dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	3	total	
Csengery+Keller 1990	34,44	39,31	26,25			Csengery+Keller 1990	12,45	21,99	16,96	22,35	26,25		
Komsi+Oramo 1995	40,50	32,62	26,88			Komsi+Oramo 1995	14,69	25,81	12,82	19,80	26,88		
Whittlesey+Sallaberger 1997	34,24	37,13	28,63			Whittlesey+Sallaberger 1997	11,42	22,82	14,99	22,14	28,63		
Pammer+Kopatchinskaja 2004	43,04	36,03	20,93			Pammer+Kopatchinskaja 2004	14,44	28,60	14,57	21,46	20,93		
Arnold+Pogossian 2004	37,91	35,87	26,22			Arnold+Pogossian 2004	12,98	24,93	13,97	21,91	26,22		
Banse+Keller 2005	31,75	39,04	29,21			Banse+Keller 2005	10,78	20,98	15,82	23,22	29,21		
Melzer+Stark 2012	38,52	38,39	23,08			Melzer+Stark 2012	13,65	24,88	15,70	22,70	23,08		
Kammer+Widmann 2017	30,50	42,49	27,01			Kammer+Widmann 2017	8,36	22,15	16,16	26,33	27,01		
mean 8	36,36	37,61	26,03			mean 8	12,34	24,02	15,12	22,49	26,03		
score	35,71	35,71	28,57			score	11,90	23,81	14,29	21,43	28,57		
min 8	30,50	32,62	20,93			min 8	8,36	20,98	12,82	19,80	20,93		
max 8	43,04	42,49	29,21			max 8	14,69	28,60	16,96	26,33	29,21		
abs stdv 8 	4,35	2,93	2,76			abs stdv 8	2,11	2,51	1,32	1,86	2,76		
