dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2a	2b	2c	3	total	
Melzer+Stark 2017	37,97	42,06	19,97			Melzer+Stark 2017	7,64	16,68	13,64	11,45	26,93	3,67	19,97		
Melzer+Stark 2019	40,88	41,02	18,10			Melzer+Stark 2019	7,30	18,38	15,19	12,17	25,48	3,37	18,10		
mean 14	40,80	44,88	14,32			mean 14	7,42	17,73	15,65	13,44	28,66	2,77	14,32		
score	43,10	43,10	13,79			score	8,62	18,97	15,52	13,79	29,31	0,00	13,79		
min 14	37,33	41,02	8,44			min 14	6,00	16,39	13,64	11,45	25,48	0,92	8,44		
max 14	43,97	49,72	19,97			max 14	9,40	19,17	17,92	15,68	31,85	3,82	19,97		
abs stdv 14	1,86	2,68	3,26			abs stdv 14	0,79	0,72	1,25	1,27	2,11	0,88	3,26		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	2a	2b	2c	3		
Csengery+Keller 1990	39,66	49,72	10,62			Csengery+Keller 1990	6,83	17,25	15,58	15,65	31,60	2,47	10,62		
Komsi+Oramo 1995	43,97	44,23	11,80			Komsi+Oramo 1995	7,98	19,17	16,83	12,87	28,27	3,09	11,80		
Whittlesey+Sallaberger 1997	42,62	48,94	8,44			Whittlesey+Sallaberger 1997	8,00	17,92	16,70	15,68	30,82	2,44	8,44		
Pammer+Kopatchinskaja 2004	41,40	43,48	15,12			Pammer+Kopatchinskaja 2004	6,00	17,48	17,92	14,18	28,37	0,92	15,12		
Arnold+Pogossian 2004	41,46	45,25	13,29			Arnold+Pogossian 2004	6,88	18,32	16,26	12,86	28,58	3,82	13,29		
Banse+Keller 2005	37,33	44,94	17,73			Banse+Keller 2005	6,71	16,39	14,23	12,79	30,15	2,00	17,73		
Melzer+Stark 2012	40,94	42,70	16,36			Melzer+Stark 2012	7,65	17,77	15,52	12,60	26,95	3,15	16,36		
Kammer+Widmann 2017	42,82	44,91	12,27			Kammer+Widmann 2017	7,43	17,84	17,56	13,96	27,85	3,11	12,27		
mean 8	41,27	45,52	13,20			mean 8	7,18	17,77	16,32	13,82	29,07	2,63	13,20		
score	43,10	43,10	13,79			score	8,62	18,97	15,52	13,79	29,31	0,00	13,79		
min 8	37,33	42,70	8,44			min 8	6,00	16,39	14,23	12,60	26,95	0,92	8,44		
max 8	43,97	49,72	17,73			max 8	8,00	19,17	17,92	15,68	31,60	3,82	17,73		
abs stdv 8 	2,06	2,50	3,08			abs stdv 8	0,70	0,81	1,20	1,27	1,60	0,89	3,08		
