dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2	3a	3b	total	
max 14	58,91	31,28	19,67			max 14	30,57	11,10	21,38	31,28	8,54	11,30		
abs stdv 14	2,16	2,27	1,92			abs stdv 14	2,00	0,69	1,22	2,27	0,84	1,32		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	2	3a	3b		
score	57,14	28,57	14,29											
Csengery+Keller 1990	56,21	28,30	15,49			Csengery+Keller 1990	25,76	10,50	19,96	28,30	6,25	9,24		
Komsi+Oramo 1995	58,70	26,47	14,83			Komsi+Oramo 1995	30,57	10,31	17,83	26,47	6,32	8,50		
Whittlesey+Sallaberger 1997	51,14	31,28	17,58			Whittlesey+Sallaberger 1997	24,62	8,67	17,84	31,28	8,46	9,12		
Pammer+Kopatchinskaja 2004	55,98	24,66	19,36			Pammer+Kopatchinskaja 2004	29,65	9,22	17,12	24,66	8,06	11,30		
Arnold+Pogossian 2004	56,05	28,46	15,49			Arnold+Pogossian 2004	28,33	9,39	18,33	28,46	7,89	7,60		
Banse+Keller 2005	54,58	29,50	15,92			Banse+Keller 2005	25,05	9,97	19,56	29,50	6,96	8,96		
Melzer+Stark 2012	55,88	24,45	19,67			Melzer+Stark 2012	25,87	10,69	19,32	24,45	8,54	11,13		
Kammer+Widmann 2017	54,66	29,43	15,91			Kammer+Widmann 2017	26,22	10,25	18,18	29,43	7,11	8,79		
mean 8	55,40	27,82	16,78			mean 8	27,01	9,87	18,52	27,82	7,45	9,33		
min 8	51,14	24,45	14,83			min 8	24,62	8,67	17,12	24,45	6,25	7,60		
max 8	58,70	31,28	19,67			max 8	30,57	10,69	19,96	31,28	8,54	11,30		
abs stdv 8 	2,14	2,43	1,86			abs stdv 8	2,22	0,71	0,99	2,43	0,91	1,27		
