dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	3a	3b	total	
Melzer+Stark 2017	33,09	55,17	11,74			Melzer+Stark 2017	25,11	7,98	18,56	8,41	28,20	4,25	7,50		
Melzer+Stark 2019	27,80	58,90	13,30			Melzer+Stark 2019	21,25	6,54	19,75	13,70	25,45	7,73	5,57		
mean 14	31,72	54,57	13,71			mean 14	25,37	6,35	20,43	9,53	24,61	5,52	8,19		
score	36,36	51,52	12,12			score	30,30	6,06	21,21	6,06	24,24	9,09	3,03		
min 14	27,80	44,00	9,51			min 14	21,25	3,42	14,47	5,39	20,59	3,25	3,46		
max 14	34,49	60,76	22,55			max 14	28,44	10,17	26,24	13,70	28,58	8,02	17,86		
abs stdv 14	2,36	4,37	4,15			abs stdv 14	1,87	1,99	3,18	2,32	2,62	1,52	4,35		
perc sec 8	1	2	3			perc seg 8	1a	1b	2a	2b	2c	3a	3b		
Csengery+Keller 1990	29,11	51,73	19,15			Csengery+Keller 1990	23,53	5,58	17,84	7,66	26,23	3,46	15,69		
Komsi+Oramo 1995	33,59	56,91	9,51			Komsi+Oramo 1995	26,63	6,96	23,20	10,62	23,09	3,58	5,93		
Whittlesey+Sallaberger 1997	33,12	56,86	10,01			Whittlesey+Sallaberger 1997	24,95	8,17	16,70	11,59	28,58	6,56	3,46		
Pammer+Kopatchinskaja 2004	31,45	56,09	12,46			Pammer+Kopatchinskaja 2004	25,91	5,54	21,14	10,68	24,27	5,72	6,74		
Arnold+Pogossian 2004	34,49	54,03	11,48			Arnold+Pogossian 2004	28,44	6,05	22,65	8,38	22,99	5,89	5,59		
Banse+Keller 2005	33,45	44,00	22,55			Banse+Keller 2005	23,28	10,17	14,47	8,93	20,59	4,69	17,86		
Melzer+Stark 2012	27,85	60,76	11,39			Melzer+Stark 2012	24,33	3,52	23,89	10,00	26,88	5,29	6,10		
Kammer+Widmann 2017	33,66	55,62	10,73			Kammer+Widmann 2017	27,63	6,03	21,62	9,04	24,96	3,25	7,48		
mean 8	32,09	54,50	13,41			mean 8	25,59	6,50	20,19	9,61	24,70	4,81	8,61		
score	36,36	51,52	12,12			score	30,30	6,06	21,21	6,06	24,24	9,09	3,03		
min 8	27,85	44,00	9,51			min 8	23,28	3,52	14,47	7,66	20,59	3,25	3,46		
max 8	34,49	60,76	22,55			max 8	28,44	10,17	23,89	11,59	28,58	6,56	17,86		
abs stdv 8 	2,41	4,96	4,77			abs stdv 8	1,89	1,98	3,42	1,32	2,53	1,26	5,21		
