dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2a	2b	2c	3	total	
Csengery+Keller 1987	00:04	00:03	00:02	00:09		Csengery+Keller 1987	00:01	00:01	00:02	00:01	00:01	00:01	00:02	00:09	
Csengery+Keller 1990	00:04	00:03	00:04	00:11		Csengery+Keller 1990	00:02	00:01	00:01	00:01	00:01	00:01	00:04	00:11	
Komsi+Oramo 1994	00:04	00:05	00:02	00:11		Komsi+Oramo 1994	00:02	00:01	00:01	00:02	00:01	00:02	00:02	00:11	
Komsi+Oramo 1995	00:04	00:04	00:02	00:10		Komsi+Oramo 1995	00:02	00:01	00:01	00:01	00:01	00:02	00:02	00:10	
Whittlesey+Sallaberger 1997	00:05	00:05	00:05	00:14		Whittlesey+Sallaberger 1997	00:02	00:01	00:03	00:02	00:01	00:02	00:05	00:14	
Pammer+Kopatchinskaja 2004	00:04	00:03	00:02	00:09		Pammer+Kopatchinskaja 2004	00:01	00:00	00:02	00:01	00:01	00:01	00:02	00:09	
Arnold+Pogossian 2004	00:04	00:03	00:03	00:10		Arnold+Pogossian 2004	00:01	00:01	00:02	00:01	00:01	00:01	00:03	00:10	
Banse+Keller 2005	00:04	00:03	00:05	00:12		Banse+Keller 2005	00:01	00:01	00:02	00:01	00:01	00:01	00:05	00:12	
Arnold+Pogossian 2006	00:03	00:04	00:02	00:09		Arnold+Pogossian 2006	00:01	00:01	00:01	00:01	00:01	00:01	00:02	00:09	
Melzer+Stark 2012	00:03	00:04	00:05	00:12		Melzer+Stark 2012	00:01	00:01	00:01	00:01	00:01	00:03	00:05	00:12	
Melzer+Stark 2013	00:03	00:03	00:03	00:10		Melzer+Stark 2013	00:01	00:01	00:01	00:01	00:01	00:02	00:03	00:10	
Kammer+Widmann 2017	00:05	00:04	00:04	00:13		Kammer+Widmann 2017	00:02	00:01	00:01	00:01	00:01	00:02	00:04	00:13	
Melzer+Stark 2017	00:03	00:03	00:03	00:09		Melzer+Stark 2017	00:01	00:01	00:02	00:01	00:01	00:02	00:03	00:09	
Melzer+Stark 2019	00:04	00:03	00:03	00:10		Melzer+Stark 2019	00:01	00:01	00:01	00:01	00:01	00:02	00:03	00:10	
mean 14	00:04	00:03	00:03	00:11		mean 14	00:01	00:01	00:02	00:01	00:01	00:02	00:03	00:11	
min 14	00:03	00:03	00:02	00:09	CK 1987/PK 2004	min 14	00:01	00:00	00:01	00:01	00:01	00:01	00:02	00:09	CK 1987/PK 2004
max 14	00:05	00:05	00:05	00:14	WS 1997	max 14	00:02	00:01	00:03	00:02	00:01	00:03	00:05	00:14	WS 1997
rel stdv (%) 14	14,70	20,97	33,07	15,26		rel stdv (%) 14	15,85	30,20	25,43	43,30	23,77	29,77	33,07	15,26	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	2a	2b	2c	3	total	
Csengery+Keller 1990	00:04	00:03	00:04	00:11		Csengery+Keller 1990	00:02	00:01	00:01	00:01	00:01	00:01	00:04	00:11	
Komsi+Oramo 1995	00:04	00:04	00:02	00:10		Komsi+Oramo 1995	00:02	00:01	00:01	00:01	00:01	00:02	00:02	00:10	
Whittlesey+Sallaberger 1997	00:05	00:05	00:05	00:14		Whittlesey+Sallaberger 1997	00:02	00:01	00:03	00:02	00:01	00:02	00:05	00:14	
Pammer+Kopatchinskaja 2004	00:04	00:03	00:02	00:09		Pammer+Kopatchinskaja 2004	00:01	00:00	00:02	00:01	00:01	00:01	00:02	00:09	
Arnold+Pogossian 2004	00:04	00:03	00:03	00:10		Arnold+Pogossian 2004	00:01	00:01	00:02	00:01	00:01	00:01	00:03	00:10	
Banse+Keller 2005	00:04	00:03	00:05	00:12		Banse+Keller 2005	00:01	00:01	00:02	00:01	00:01	00:01	00:05	00:12	
Melzer+Stark 2012	00:03	00:04	00:05	00:12		Melzer+Stark 2012	00:01	00:01	00:01	00:01	00:01	00:03	00:05	00:12	
Kammer+Widmann 2017	00:05	00:04	00:04	00:13		Kammer+Widmann 2017	00:02	00:01	00:01	00:01	00:01	00:02	00:04	00:13	
mean 8	00:04	00:03	00:04	00:11		mean 8	00:02	00:01	00:02	00:01	00:01	00:02	00:04	00:11	
min 8	00:03	00:03	00:02	00:09	PK 2004	min 8	00:01	00:00	00:01	00:01	00:01	00:01	00:02	00:09	PK 2004
max 8	00:05	00:05	00:05	00:14	WS 1997	max 8	00:02	00:01	00:03	00:02	00:01	00:03	00:05	00:14	WS 1997
rel stdv (%) 8 	13,86	20,44	31,81	14,88		rel stdv (%) 8	15,15	33,82	27,08	35,86	17,63	35,59	31,81	14,88	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	2a	2b	2c	3		
Csengery+Keller 1987	45,08	28,93	25,98			Csengery+Keller 1987	15,52	8,11	21,45	8,50	6,49	13,94	25,98		
Csengery+Keller 1990	34,46	23,85	41,69			Csengery+Keller 1990	14,37	5,98	14,11	8,35	7,42	8,07	41,69		
Komsi+Oramo 1994	35,24	43,80	20,97			Komsi+Oramo 1994	14,90	8,61	11,73	17,80	9,93	16,06	20,97		
Komsi+Oramo 1995	40,95	34,66	24,39			Komsi+Oramo 1995	17,85	9,57	13,53	9,12	6,64	18,89	24,39		
Whittlesey+Sallaberger 1997	35,71	32,55	31,75			Whittlesey+Sallaberger 1997	11,01	7,28	17,42	12,76	5,70	14,08	31,75		
Pammer+Kopatchinskaja 2004	42,24	35,53	22,23			Pammer+Kopatchinskaja 2004	15,85	4,96	21,43	12,52	6,82	16,19	22,23		
Arnold+Pogossian 2004	42,27	30,42	27,31			Arnold+Pogossian 2004	13,68	5,72	22,86	9,91	8,69	11,82	27,31		
Banse+Keller 2005	33,44	22,58	43,98			Banse+Keller 2005	11,30	8,08	14,06	7,66	5,55	9,37	43,98		
Arnold+Pogossian 2006	35,37	39,68	24,95			Arnold+Pogossian 2006	14,86	6,24	14,26	16,19	10,97	12,52	24,95		
