Whittlesey+Sallaberger 1997	53,90	46,10			Whittlesey+Sallaberger 1997	19,53	5,53	7,10	10,59	11,16	4,80	8,68	4,18	28,44		
Pammer+Kopatchinskaja 2004	54,27	45,73			Pammer+Kopatchinskaja 2004	19,22	5,70	6,61	11,08	11,67	5,48	9,44	3,86	26,95		
Arnold+Pogossian 2004	49,72	50,28			Arnold+Pogossian 2004	19,04	4,45	7,11	10,00	9,13	4,96	8,90	3,83	32,59		
Banse+Keller 2005	45,67	54,33			Banse+Keller 2005	17,87	2,15	6,37	9,24	10,03	4,32	8,26	4,05	37,70		
Arnold+Pogossian 2006	48,79	51,21			Arnold+Pogossian 2006	18,18	4,50	6,95	9,89	9,29	4,70	8,44	4,94	33,12		
Melzer+Stark 2012	46,60	53,40			Melzer+Stark 2012	18,30	4,68	6,25	9,17	8,20	4,45	7,98	4,51	36,46		
Melzer+Stark 2013	45,56	54,44			Melzer+Stark 2013	17,70	1,85	7,12	10,10	8,79	5,11	9,73	4,96	34,65		
Kammer+Widmann 2017	54,23	45,77			Kammer+Widmann 2017	20,30	5,31	7,39	9,81	11,42	4,64	7,50	4,03	29,59		
Melzer+Stark 2017	46,12	53,88			Melzer+Stark 2017	17,17	2,84	6,75	9,47	9,89	4,78	9,40	4,40	35,30		
Melzer+Stark 2019	46,75	53,25			Melzer+Stark 2019	17,15	4,33	7,17	9,45	8,64	5,21	8,55	4,70	34,79		
mean 14	49,35	50,65			mean 14	18,80	4,30	6,82	9,79	9,65	4,69	8,47	4,52	32,98		
min 14	45,56	45,73			min 14	17,15	1,85	6,25	9,17	8,18	4,01	7,08	3,83	26,95		
max 14	54,27	54,44			max 14	21,07	6,99	7,39	11,08	11,67	5,48	9,73	5,78	37,70		
abs stdv 14	3,34	3,34			abs stdv 14	1,26	1,50	0,35	0,53	1,20	0,43	0,79	0,53	3,18		
perc sec 8	1	2			perc seg 8	1a	1b	1c	1d	1e	2a	2b	2c	2d		
score	55,29	44,71														
Csengery+Keller 1990	46,25	53,75			Csengery+Keller 1990	17,87	3,05	6,41	9,31	9,61	4,15	8,61	4,45	36,54		
Komsi+Oramo 1995	52,48	47,52			Komsi+Oramo 1995	20,63	6,99	6,99	9,69	8,18	4,22	7,08	4,78	31,44		
Whittlesey+Sallaberger 1997	53,90	46,10			Whittlesey+Sallaberger 1997	19,53	5,53	7,10	10,59	11,16	4,80	8,68	4,18	28,44		
Pammer+Kopatchinskaja 2004	54,27	45,73			Pammer+Kopatchinskaja 2004	19,22	5,70	6,61	11,08	11,67	5,48	9,44	3,86	26,95		
Arnold+Pogossian 2004	49,72	50,28			Arnold+Pogossian 2004	19,04	4,45	7,11	10,00	9,13	4,96	8,90	3,83	32,59		
Banse+Keller 2005	45,67	54,33			Banse+Keller 2005	17,87	2,15	6,37	9,24	10,03	4,32	8,26	4,05	37,70		
Melzer+Stark 2012	46,60	53,40			Melzer+Stark 2012	18,30	4,68	6,25	9,17	8,20	4,45	7,98	4,51	36,46		
Kammer+Widmann 2017	54,23	45,77			Kammer+Widmann 2017	20,30	5,31	7,39	9,81	11,42	4,64	7,50	4,03	29,59		
mean 8	50,39	49,61			mean 8	19,09	4,73	6,78	9,86	9,92	4,63	8,31	4,21	32,46		
min 8	45,67	45,73			min 8	17,87	2,15	6,25	9,17	8,18	4,15	7,08	3,83	26,95		
max 8	54,27	54,33			max 8	20,63	6,99	7,39	11,08	11,67	5,48	9,44	4,78	37,70		
abs stdv 8 	3,79	3,79			abs stdv 8	1,04	1,54	0,42	0,68	1,39	0,45	0,77	0,34	4,07		
