dur sec 14	1	2	3	4	5	total		dur seg 14	1a	1b	1c	1d	1e	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	5a	5b	5c	total	
Whittlesey+Sallaberger 1997	00:24	00:19	00:13	00:09	00:02	01:08		Whittlesey+Sallaberger 1997	00:02	00:03	00:10	00:05	00:03	00:03	00:02	00:05	00:10	00:03	00:05	00:03	00:02	00:07	00:02	00:01	00:01	00:01	01:08	
Pammer+Kopatchinskaja 2004	00:15	00:18	00:07	00:06	00:03	00:48		Pammer+Kopatchinskaja 2004	00:02	00:02	00:07	00:03	00:02	00:01	00:02	00:03	00:11	00:02	00:03	00:02	00:01	00:05	00:01	00:00	00:01	00:01	00:48	
Arnold+Pogossian 2004	00:21	00:18	00:12	00:12	00:03	01:06		Arnold+Pogossian 2004	00:02	00:03	00:08	00:04	00:04	00:01	00:02	00:04	00:12	00:03	00:05	00:02	00:02	00:08	00:04	00:01	00:01	00:01	01:06	
Banse+Keller 2005	00:19	00:14	00:10	00:08	00:03	00:55		Banse+Keller 2005	00:02	00:02	00:07	00:04	00:04	00:01	00:02	00:03	00:09	00:02	00:03	00:03	00:03	00:07	00:02	00:01	00:01	00:01	00:55	
Melzer+Stark 2012	00:21	00:22	00:08	00:06	00:03	01:01		Melzer+Stark 2012	00:03	00:03	00:08	00:04	00:03	00:01	00:02	00:04	00:15	00:02	00:03	00:02	00:01	00:06	00:00	00:01	00:01	00:01	01:01	
Kammer+Widmann 2017	00:20	00:13	00:09	00:05	00:02	00:49		Kammer+Widmann 2017	00:02	00:04	00:09	00:03	00:03	00:01	00:01	00:03	00:08	00:02	00:03	00:03	00:01	00:04	00:01	00:01	00:01	00:01	00:49	
mean 8	00:20	00:18	00:10	00:08	00:03	00:58		mean 8	00:02	00:03	00:08	00:04	00:03	00:01	00:02	00:04	00:11	00:03	00:04	00:02	00:01	00:06	00:01	00:01	00:01	00:01	00:58	
min 8	00:15	00:13	00:07	00:05	00:02	00:48	PK 2004	min 8	00:02	00:02	00:07	00:03	00:02	00:01	00:01	00:03	00:08	00:02	00:03	00:02	00:01	00:04	00:00	00:00	00:01	00:01	00:48	PK 2004
max 8	00:24	00:22	00:13	00:12	00:03	01:08	WS 1997	max 8	00:03	00:04	00:10	00:05	00:04	00:03	00:02	00:05	00:15	00:03	00:05	00:03	00:03	00:08	00:04	00:01	00:01	00:01	01:08	WS 1997
rel stdv 8 (%)	12,90	18,62	20,34	27,33	13,00	12,59		rel stdv (%) 8	21,62	18,91	12,60	23,79	26,24	46,82	18,59	17,73	26,95	17,96	25,66	18,11	46,71	17,99	87,15	26,55	21,00	28,93	12,59	
perc sec 14	1	2	3	4	5			perc seg 14	1a	1b	1c	1d	1e	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	5a	5b	5c		
Csengery+Keller 1987	37,84	24,05	16,80	16,75	4,55			Csengery+Keller 1987	4,58	5,02	15,74	6,22	6,28	1,37	3,44	6,29	12,96	4,85	5,47	3,52	2,97	12,48	4,27	1,05	2,15	1,35		
Csengery+Keller 1990	37,03	27,25	16,82	13,93	4,97			Csengery+Keller 1990	4,75	4,48	15,90	6,99	4,91	2,20	3,40	6,05	15,60	5,09	5,71	4,55	1,47	12,61	1,32	0,94	2,06	1,96		
Komsi+Oramo 1994	26,61	33,44	18,98	16,09	4,88			Komsi+Oramo 1994	2,62	3,90	9,55	3,78	6,76	1,74	2,85	4,47	24,38	5,35	4,50	4,36	4,77	13,84	2,25	1,13	2,63	1,12		
Komsi+Oramo 1995	30,41	35,02	17,11	13,16	4,30			Komsi+Oramo 1995	2,91	4,08	12,32	4,76	6,35	1,57	2,96	5,43	25,06	4,97	5,44	4,10	2,60	11,35	1,82	0,66	1,70	1,93		
Whittlesey+Sallaberger 1997	35,05	28,60	19,41	13,32	3,63			Whittlesey+Sallaberger 1997	3,52	4,59	14,23	7,65	5,06	3,87	3,47	7,08	14,18	4,76	7,10	4,54	3,01	11,02	2,30	1,10	1,60	0,93		
Pammer+Kopatchinskaja 2004	30,98	36,43	14,62	12,59	5,38			Pammer+Kopatchinskaja 2004	3,48	4,69	13,91	5,36	3,54	1,97	4,27	6,65	23,54	3,93	6,11	3,25	1,32	10,78	1,81	0,90	2,96	1,53		
Arnold+Pogossian 2004	31,38	27,27	18,40	17,98	4,98			Arnold+Pogossian 2004	3,58	4,12	12,39	5,49	5,80	1,44	2,62	5,35	17,85	4,23	7,59	3,36	3,22	11,85	6,13	1,35	1,49	2,15		
Banse+Keller 2005	34,27	26,11	18,81	15,08	5,73			Banse+Keller 2005	3,70	3,55	13,11	6,37	7,54	1,59	3,54	4,85	16,12	4,16	5,61	4,51	4,52	12,12	2,96	1,28	2,03	2,42		
Arnold+Pogossian 2006	27,81	30,87	19,70	17,85	3,76			Arnold+Pogossian 2006	2,30	4,54	11,62	5,04	4,32	1,27	2,38	4,80	22,42	4,88	7,43	3,61	3,77	11,96	5,90	1,23	1,61	0,92		
Melzer+Stark 2012	34,86	36,47	13,78	10,51	4,39			Melzer+Stark 2012	5,21	4,78	13,53	6,22	5,11	1,70	3,31	6,28	25,17	3,48	4,63	3,51	2,16	9,89	0,62	1,11	2,06	1,22		
Melzer+Stark 2013	34,32	38,23	14,39	9,68	3,38			Melzer+Stark 2013	5,30	4,22	13,33	6,53	4,94	1,29	4,04	7,32	25,59	4,01	4,83	3,77	1,78	8,62	1,06	0,94	1,07	1,37		
Kammer+Widmann 2017	41,09	26,76	17,58	10,04	4,53			Kammer+Widmann 2017	4,24	7,24	19,05	5,48	5,08	2,48	2,32	6,58	15,38	5,01	5,64	5,19	1,73	9,00	1,04	1,24	1,28	2,01		
Melzer+Stark 2017	35,16	36,81	13,95	12,67	1,41			Melzer+Stark 2017	3,71	4,44	13,36	7,20	6,45	1,70	4,03	7,35	23,72	3,64	4,57	3,56	2,19	10,38	2,29	1,41	0,00	0,00		
Melzer+Stark 2019	35,42	39,11	14,07	8,64	2,75			Melzer+Stark 2019	4,04	4,60	13,87	7,85	5,07	1,84	4,39	5,68	27,21	3,30	6,01	3,33	1,43	8,40	0,24	0,93	0,65	1,17		
mean 14	33,73	31,89	16,74	13,45	4,19			mean 14	3,85	4,59	13,71	6,07	5,52	1,86	3,36	6,01	20,65	4,41	5,76	3,94	2,64	11,02	2,43	1,09	1,66	1,43		
min 14	26,61	24,05	13,78	8,64	1,41			min 14	2,30	3,55	9,55	3,78	3,54	1,27	2,32	4,47	12,96	3,30	4,50	3,25	1,32	8,40	0,24	0,66	0,00	0,00		
max 14	41,09	39,11	19,70	17,98	5,73			max 14	5,30	7,24	19,05	7,85	7,54	3,87	4,39	7,35	27,21	5,35	7,59	5,19	4,77	13,84	6,13	1,41	2,96	2,42		
abs stdv 14	3,93	5,16	2,19	3,04	1,14			abs stdv 14	0,91	0,85	2,21	1,15	1,06	0,67	0,67	0,94	5,00	0,67	1,02	0,60	1,13	1,62	1,83	0,20	0,76	0,63		
perc sec 8	1	2	3	4	5			perc seg 8	1a	1b	1c	1d	1e	2a	2b	2c	2d	3a	3b	3c	3d	4a	4b	5a	5b	5c		
Csengery+Keller 1990	37,0	27,2	16,8	13,9	5,0			Csengery+Keller 1990	4,8	4,5	15,9	7,0	4,9	2,2	3,4	6,0	15,6	5,1	5,7	4,6	1,5	12,6	1,3	0,9	2,1	2,0		
Komsi+Oramo 1995	30,4	35,0	17,1	13,2	4,3			Komsi+Oramo 1995	2,9	4,1	12,3	4,8	6,3	1,6	3,0	5,4	25,1	5,0	5,4	4,1	2,6	11,3	1,8	0,7	1,7	1,9		
Whittlesey+Sallaberger 1997	35,0	28,6	19,4	13,3	3,6			Whittlesey+Sallaberger 1997	3,5	4,6	14,2	7,6	5,1	3,9	3,5	7,1	14,2	4,8	7,1	4,5	3,0	11,0	2,3	1,1	1,6	0,9		
Pammer+Kopatchinskaja 2004	31,0	36,4	14,6	12,6	5,4			Pammer+Kopatchinskaja 2004	3,5	4,7	13,9	5,4	3,5	2,0	4,3	6,6	23,5	3,9	6,1	3,3	1,3	10,8	1,8	0,9	3,0	1,5		
Arnold+Pogossian 2004	31,4	27,3	18,4	18,0	5,0			Arnold+Pogossian 2004	3,6	4,1	12,4	5,5	5,8	1,4	2,6	5,4	17,8	4,2	7,6	3,4	3,2	11,8	6,1	1,3	1,5	2,1		
Banse+Keller 2005	34,3	26,1	18,8	15,1	5,7			Banse+Keller 2005	3,7	3,5	13,1	6,4	7,5	1,6	3,5	4,9	16,1	4,2	5,6	4,5	4,5	12,1	3,0	1,3	2,0	2,4		
Melzer+Stark 2012	34,9	36,5	13,8	10,5	4,4			Melzer+Stark 2012	5,2	4,8	13,5	6,2	5,1	1,7	3,3	6,3	25,2	3,5	4,6	3,5	2,2	9,9	0,6	1,1	2,1	1,2		
Kammer+Widmann 2017	41,1	26,8	17,6	10,0	4,5			Kammer+Widmann 2017	4,2	7,2	19,0	5,5	5,1	2,5	2,3	6,6	15,4	5,0	5,6	5,2	1,7	9,0	1,0	1,2	1,3	2,0		
mean 8	34,38	30,49	17,06	13,33	4,74			mean 8	3,92	4,69	14,30	6,04	5,42	2,10	3,24	6,03	19,11	4,46	5,98	4,13	2,50	11,08	2,25	1,07	1,90	1,77		
min 8	30,41	26,11	13,78	10,04	3,63			min 8	2,91	3,55	12,32	4,76	3,54	1,44	2,32	4,85	14,18	3,48	4,63	3,25	1,32	9,00	0,62	0,66	1,28	0,93		
max 8	41,09	36,47	19,41	17,98	5,73			max 8	5,21	7,24	19,05	7,65	7,54	3,87	4,27	7,08	25,17	5,09	7,59	5,19	4,52	12,61	6,13	1,35	2,96	2,42		
abs stdv 8	3,57	4,61	1,98	2,52	0,67			abs stdv 8	0,76	1,11	2,23	0,95	1,17	0,80	0,60	0,76	4,67	0,59	0,95	0,69	1,07	1,19	1,73	0,23	0,52	0,50		
